network      station         channel         starttime               duration        frequency       sampling_rate  vpp gain
GT           UN              HNN             2021-05-24T12:45:50     1               100             100            5   792878.7 
-            -               -               2021-05-24T12:48:10     -               90              -              -   -
-            -               -               2021-05-24T12:50:00     -               80              -              -   -
-            -               -               2021-05-24T12:52:00     -               70              -              -   -
-            -               -               2021-05-24T12:54:00     2               60              -              -   -
-            -               -               2021-05-24T12:56:40     -               55              -              -   -
-            -               -               2021-05-24T13:00:50     -               54              -              -   -
-            -               -               2021-05-24T13:04:00     -               53              -              -   -
-            -               -               2021-05-24T13:07:00     -               52              -              -   -
-            -               -               2021-05-24T13:10:00     -               51              -              -   -
-            -               -               2021-05-24T13:13:00     -               50              -              -   -
-            -               -               2021-05-24T13:16:00     -               49              -              -   -
-            -               -               2021-05-24T13:19:00     -               48              -              -   -
-            -               -               2021-05-24T13:23:00     -               47              -              -   -
-            -               -               2021-05-24T13:26:00     -               46              -              -   -
-            -               -               2021-05-24T13:29:00     -               45              -              -   -
-            -               -               2021-05-24T13:33:00     -               40              -              -   -
-            -               -               2021-05-24T13:36:00     -               30              -              -   -
-            -               -               2021-05-24T13:39:20     -               20              -              -   -
-            -               -               2021-05-24T13:43:00     -               10              -              -   -
-            -               -               2021-05-24T13:50:00     -               5               -              -   -
-            -               -               2021-05-24T13:59:30     4               2               -              -   -
-            -               -               2021-05-24T14:06:00     8               1               -              -   -
-            -               -               2021-05-24T14:17:00     16              0.1             -              -   -
-            -               -               2021-05-24T14:34:00     80              0.01            -              -   -
